,PSdelay,TIE_PLL_sdev,phasePSvsPLL_mean_40M,phasePSvsPLL_sdev_40M,dutyCycle_PLL_40M,period_PLL_40M,TIE_PS_sdev_40M,phasePSvsPLL_mean_80M,phasePSvsPLL_sdev_80M,TIE_PS_sdev_80M,phasePSvsPLL_mean_640M,phasePSvsPLL_sdev_640M,TIE_PS_sdev_640M,TIE_PLL_sdev_40M0,TIE_PLL_sdev_640M0,TIE_PLL_sdev_40M1,TIE_PLL_sdev_640M1,TIE_PLL_sdev_40M2,TIE_PLL_sdev_640M2,TIE_PLL_sdev_40M3,TIE_PLL_sdev_640M3,TIE_PLL_sdev_40M4,TIE_PLL_sdev_640M4,TIE_PLL_sdev_40M5,TIE_PLL_sdev_640M5
43,43,9.547,21.332,7.449,50.177,25.0,6.669,2.817,4.014,6.66,0.418,2.416,6.519,6.6,9.6,,,,,,,,,,
44,44,9.679,21.403,6.698,50.17,25.0,6.466,2.91,3.669,6.639,0.505,3.62,6.606,6.6,10.1,,,,,,,,,,
45,45,9.425,21.492,5.05,50.174,25.0,6.419,2.999,6.426,6.447,0.598,3.081,6.493,6.6,10.6,,,,,,,,,,
46,46,9.55,21.582,6.868,50.171,25.0,6.409,3.091,4.55,6.472,0.693,3.002,6.535,6.6,10.4,,,,,,,,,,
47,47,9.441,21.67,7.231,50.162,25.0,6.375,3.181,5.302,6.5,0.787,4.667,6.479,6.6,10.4,,,,,,,,,,
48,48,9.554,21.853,5.15,50.08,25.0,6.434,3.364,5.389,6.373,0.938,3.256,6.541,6.5,9.6,,,,,,,,,,
49,49,9.525,21.954,5.94,50.084,25.0,6.509,3.451,4.959,6.528,1.036,3.515,6.557,6.8,9.4,,,,,,,,,,
50,50,9.656,22.06,5.439,50.148,25.0,6.596,3.547,5.39,6.679,1.14,4.702,6.512,6.7,9.2,,,,,,,,,,
51,51,9.682,22.161,5.845,50.158,25.0,6.514,3.643,5.357,6.606,1.235,3.331,6.625,7.1,9.2,,,,,,,,,,
52,52,9.803,22.252,5.989,50.162,25.0,6.599,3.735,5.811,6.619,1.325,3.79,6.649,7,9.5,,,,,,,,,,
53,53,9.582,22.339,5.681,0.0,0.0,-1.0,3.829,5.73,6.695,1.422,3.665,6.486,7.3,9.7,,,,,,,,,,
54,54,9.785,22.429,6.144,50.181,25.0,6.61,3.919,4.215,6.719,1.512,3.589,6.647,7.4,9.6,,,,,,,,,,
55,55,9.966,22.524,5.006,50.177,25.0,6.723,4.013,6.032,6.785,0.041,3.769,6.75,7.7,8.7,,,,,,,,,,
56,56,9.932,22.616,6.702,50.191,25.0,7.012,4.108,7.309,6.808,0.138,3.754,6.67,7.8,7.9,,,,,,,,,,
57,57,10.233,22.709,6.185,50.228,25.0,6.97,4.203,6.734,6.945,0.233,3.751,6.922,8,7.5,,,,,,,,,,
58,58,10.464,22.81,6.515,0.0,24.998,-1.0,4.298,6.495,6.968,0.325,3.145,7.014,7.9,7.8,,,,,,,,,,
59,59,10.989,22.892,6.563,50.173,25.0,7.253,4.383,6.01,7.154,0.411,4.513,7.334,8.3,7.5,,,,,,,,,,
60,60,11.651,22.966,5.787,50.17,25.0,7.584,4.473,6.362,7.428,0.499,4.214,7.685,8.2,7,,,,,,,,,,
61,61,12.092,23.057,6.042,50.171,25.0,7.756,4.563,5.427,7.81,0.589,5.285,7.914,7.8,6.9,,,,,,,,,,
62,62,12.677,23.149,6.18,50.171,25.0,7.908,4.655,7.984,8.143,0.687,4.676,8.098,7.7,7.1,,,,,,,,,,
63,63,12.566,23.238,6.585,50.165,25.0,7.984,4.745,4.612,7.732,0.779,4.842,8.167,7.6,7.6,,,,,,,,,,
64,64,12.291,23.409,7.278,50.089,25.0,7.804,4.923,3.346,7.933,0.932,2.385,7.962,7.5,7.6,,,,,,,,,,
65,65,13.174,23.511,6.338,50.085,25.0,8.342,5.01,6.083,8.101,1.025,3.939,8.454,7.2,7.9,,,,,,,,,,
66,66,13.013,23.614,7.358,50.148,25.0,8.163,5.107,7.098,8.049,1.13,3.969,8.351,7,7.9,,,,,,,,,,
67,67,12.023,23.714,6.861,50.161,25.0,7.928,5.199,5.704,7.888,1.228,4.183,7.885,6.9,7.9,,,,,,,,,,
68,68,11.703,23.808,7.387,50.167,25.0,7.509,5.293,7.767,7.451,1.321,3.84,7.702,6.5,7.6,,,,,,,,,,
69,69,11.552,23.895,5.943,50.165,25.0,7.704,5.384,4.322,7.316,1.412,3.745,7.608,6.4,7.5,,,,,,,,,,
70,70,11.164,23.992,6.305,50.176,25.0,7.533,5.48,6.294,7.357,1.502,4.114,7.403,6.4,7.4,,,,,,,,,,
71,71,10.657,24.089,6.679,50.177,25.0,7.14,5.576,4.904,7.082,0.042,3.762,7.101,6.5,8.1,,,,,,,,,,
72,72,10.391,24.184,6.379,50.197,25.0,6.782,5.676,4.472,6.932,0.14,3.764,7.045,6.5,8.9,,,,,,,,,,
